District,2006 to 2007 in hectare,2007 to 2008 in hectare,2008 to 2009 in hectare,2009 to 2010 in hectare,2010 to 2011 in hectare,2011 to 2012 in hectare,2012 to 2013 in hectare
Jabalpur,64184,65761,67404,65580,67596,72237,81619
Katni,109223,87970,105865,69608,83507,94215,100509
Balaghat,248652,249811,249835,247791,247865,255517,260767
Chindwara,20557,20459,19254,18751,18316,18142,13938
Seoni,119394,118956,115562,116827,116339,120142,136546
Mandala,114068,114204,114760,110841,112720,125842,128731
Narshinghpur,13605,12944,13149,13345,12545,12088,12914
Sagar,8369,6639,6407,6044,6004,6550,5258
Damoh,53262,53919,56255,55599,50196,53261,56299
Panna,56217,49756,57085,58338,53696,61036,63640
Tikamgarh,14485,11658,12907,12688,11976,12293,11766
Chhatarpur,11865,11344,11323,9707,8872,7242,5791
Rewa,137689,131607,136926,124866,102073,116322,123510
Sidhi,127035,122631,72724,70274,58194,67951,68300
Singrouli,0,0,49749,46126,44338,46780,47452
Satna,94921,89653,90254,82614,71699,88185,85378
Shahdol,108258,107878,107234,101223,100909,103868,111955
Anuppur,101189,101031,100199,97064,97568,99732,105693
Umaria,43765,45692,45644,37722,38127,39976,40075
Dindori,78637,79050,79304,69269,78412,78694,81710
Bhopal,599,564,522,503,461,460,683
Sehore,1372,2282,4645,4973,6093,11389,17300
Raisen,12369,18028,22146,21859,26154,28702,35335
Vidisha,571,502,522,576,374,829,272
Rajgarh,967,929,710,605,538,468,415
Indore,22,20,11,3,5,3,4
Dhar,1857,1656,1365,1208,1198,961,764
Jhabua,22890,22820,14190,13216,12791,12137,11896
Alirajpur,0,0,7665,7226,7122,6823,7082
Khargone,3800,3541,3226,3211,2762,2024,1934
Barwani,2236,2121,2328,1926,1476,1363,1158
Khandwa,10514,10217,9699,8559,6929,7713,4195
Burhanpur,2888,2277,2284,1826,1671,1550,904
Ujjain,1,1,2,0,0,0,0
Mandsour,2,1,0,0,0,0,0
Neemuch,29,41,70,60,47,46,43
Ratlam,2168,2046,1778,1781,1696,1466,1356
Dewas,536,557,449,241,180,167,143
Shajapur,303,229,190,174,112,101,73
Morena,452,115,467,102,184,255,235
Sheopur,3882,4735,6973,10010,9476,14208,13473
Bhind,410,320,10279,1627,5616,5717,4623
Gwalior,15926,11726,30991,21025,24474,30616,49164
Shivpuri,5115,5128,7965,7979,8333,9226,13399
Guna,790,780,820,777,706,602,542
Ashoknagar,809,803,593,544,609,874,1329
Betul,1455,1528,3960,4303,5747,7383,8077
Betul,40742,43886,42970,44079,43688,42539,44860
Hoshangabad,15232,16540,17083,19907,23719,25270,29322
Harda,701,556,814,494,422,266,725
Total,1674013,1634912,1706997,1593071,1573535,1693231,1791157
,,,,,,,
